"STName","PType","Tel","Address","full_addre","Town","Vill","Response_X","Response_Y"
"蘇澳鎮長安社區","分部","03-9967487","宜蘭縣蘇澳鎮勝利路1號","宜蘭縣蘇澳鎮長安里2鄰勝利路1號","蘇澳鎮","長安里",121.854053,24.592792
"蘇澳鎮蘇北社區","分部","03-9967785","宜蘭縣蘇澳鎮新生路8號","宜蘭縣蘇澳鎮蘇北里8鄰新生路8號","蘇澳鎮","蘇北里",121.850502,24.596778
"蘇澳鎮永春社區","分部","03-9952653","宜蘭縣蘇澳鎮永春路134巷11之1號","宜蘭縣蘇澳鎮永春里6鄰永春路134巷11之1號","蘇澳鎮","永春里",121.84541,24.582633
"蘇澳鎮永樂社區","分部","03-9951221","宜蘭縣蘇澳鎮永樂路116巷6號","宜蘭縣蘇澳鎮永樂里1鄰永樂路116巷6號","蘇澳鎮","永樂里",121.841405,24.576195
"蘇澳鎮蘇西社區","分部","03-9961912","宜蘭縣蘇澳鎮志成路62號","宜蘭縣蘇澳鎮蘇西里26鄰志成路62號","蘇澳鎮","蘇西里",121.841248,24.593943
"蘇澳鎮隘丁社區","分部","0939789928","宜蘭縣蘇澳鎮城中路40號","宜蘭縣蘇澳鎮隘丁里7鄰城中路40號","蘇澳鎮","隘丁里",121.837047,24.615771
"蘇澳國中","本部","03-9962137轉27","宜蘭縣蘇澳鎮聖湖里中山路二段1號","宜蘭縣蘇澳鎮聖湖里16鄰中山路二段1號","蘇澳鎮","聖湖里",121.835429,24.595272
"蘇澳鎮聖湖社區","分部","03-9951755","宜蘭縣蘇澳鎮全祿街10號","宜蘭縣蘇澳鎮聖湖里17鄰全祿街10號","蘇澳鎮","聖湖里",121.834457,24.594726
"蘇澳鎮聖愛社區","分部","093324535","宜蘭縣蘇澳鎮全祿街10號","宜蘭縣蘇澳鎮聖湖里17鄰全祿街10號","蘇澳鎮","聖湖里",121.834457,24.594726
"蘇澳鎮龍德社區","分部","03-9909123","宜蘭縣蘇澳鎮福德路177巷25號","宜蘭縣蘇澳鎮龍德里6鄰福德路177巷25號","蘇澳鎮","龍德里",121.829575,24.640753
"頭城國小","本部","03-9771011分機131","宜蘭縣頭城鎮開蘭路282號","宜蘭縣頭城鎮武營里3鄰開蘭路282號","頭城鎮","武營里",121.827116,24.862689
"大眾社區","分部","","宜蘭縣五結鄉大眾路80-2號","宜蘭縣五結鄉錦眾村19鄰大眾路80之2號","五結鄉","錦眾村",121.820598,24.697331
"後埤社區","分部","03-9386038","宜蘭縣壯圍鄉壯濱路二段303號","宜蘭縣壯圍鄉復興村20鄰壯濱路二段303號","壯圍鄉","復興村",121.816049,24.747461
"大福國小","分部","03-9301239","宜蘭縣壯圍鄉大福路一段62巷26號","宜蘭縣壯圍鄉大福村9鄰大福路一段62巷26號","壯圍鄉","大福村",121.81454,24.801527
"孝威社區","分部","","宜蘭縣五結鄉孝威路322號","宜蘭縣五結鄉孝威村11鄰孝威路322號","五結鄉","孝威村",121.811727,24.696147
"新南社區","分部","0933243759","宜蘭縣壯圍鄉新南路1段155號","宜蘭縣壯圍鄉新南村6鄰新南路一段155號","壯圍鄉","新南村",121.809275,24.718244
"時潮社區","分部","03-9870457","宜蘭縣礁溪鄉塭底路54號","宜蘭縣礁溪鄉時潮村5鄰塭底路54號","礁溪鄉","時潮村",121.809381,24.804495
"東城分部","分部","0919-903-477","宜蘭縣冬山鄉東城路280號","宜蘭縣冬山鄉東城村5鄰東城路280號","冬山鄉","東城村",121.806334,24.629717
