醫事機構代碼,醫事機構名稱,主責機構註記,醫事機構地址,醫事機構電話,生效起日,生效迄日,整合團隊代碼,整合團隊名稱
0601160016,臺北榮民總醫院,V,台北市北投區石牌路２段２０１號,02 28712121,106/03/14,107/12/31,HM01160003,臺北榮民總醫院
0602030026,高雄榮民總醫院,V,高雄市左營區大中一路３８６號,07 3422121,106/02/15,107/12/31,HM02030002,高雄榮民總醫院居家醫療照護團隊
0617060018,臺中榮民總醫院,V,台中市西屯區臺灣大道４段 １６５０號,04 23592525,106/04/01,107/12/31,HM17060002,臺中榮民總醫院
1132070011,長庚醫療財團法人林口長庚紀念醫院,V,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,03 3281200,105/08/01,999/12/31,HM32070001,林口、桃園長庚紀念醫院居家照護團隊
1137010024,彰化基督教醫療財團法人彰化基督教醫院,V,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號,04 7238595,106/03/31,107/12/31,HM37010004,彰聯居家醫療整合照護團隊
1142100017,長庚醫療財團法人高雄長庚紀念醫院,V,高雄市鳥松區大埤路１２３號,07 7317123,105/10/03,107/12/31,HM42100001,高雄長庚居家照護團隊醫療
1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,V,台北市文山區興隆路３段１１１號,02 29307930,105/07/27,107/12/31,HM01200001,萬芳團隊
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,V,高雄市三民區十全一路１００號,07 3121101,105/09/23,107/12/31,HM02050001,高醫社區照護中心
1317040011,中山醫學大學附設醫院,,台中市南區建國北路一段１１０號,04 24739595,106/04/19,107/12/31,HM03180001,慈心
0101090517,臺北市立聯合醫院,V,台北市大同區鄭州路１４５號（代表）,02 25553000,105/03/01,107/12/31,HM01090001,臺北藍鵲居家醫療照護團隊
0102020011,高雄市立聯合醫院,,高雄市鼓山區中華一路９７６號Ｂ１-９Ｆ,07 5552565,106/03/03,107/12/31,HM02070002,高聯醫
0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,V,高雄市前金區中華三路６８號,07 2911101,105/07/05,107/12/31,HM02070001,大同居家照護中心
0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,,高雄市前金區中華三路６８號,07 2911101,106/03/03,107/12/31,HM02070002,高聯醫
0111070010,衛生福利部基隆醫院,V,基隆市信義區信二路２６８號,02 24292525,105/04/28,107/12/31,HM11070001,部基居家醫療照護小組
0117030010,衛生福利部臺中醫院,V,台中市西區三民路一段１９９號,04 22294411,105/07/27,107/12/31,HM17030001,臺中醫院居家整合照護團隊
0121050011,衛生福利部臺南醫院,V,台南市中區中山路１２５號,06 2200055,105/04/20,107/12/31,HM21050001,部立臺南醫院居家醫療照護整合團隊
0131020016,新北市立聯合醫院,V,新北市三重區新北大道１段３號、３之１號、板橋區英士路１９８號,02 29829111,105/09/19,107/12/31,HM31020001,新北聯醫
0132010014,衛生福利部桃園醫院,V,桃園市桃園區中山路１４９２號,03 3699721,105/06/06,999/12/31,HM32010003,桃醫居家醫療團隊
0132010014,衛生福利部桃園醫院,,桃園市桃園區中山路１４９２號,03 3699721,106/04/18,999/12/31,HM32020003,懷寧醫院
0135010016,衛生福利部苗栗醫院,V,苗栗縣苗栗市為公路７４７號,037261920,106/03/29,999/12/31,HM35010003,衛生福利部苗栗醫院居家醫療團隊
0143010011,衛生福利部屏東醫院,V,屏東縣屏東市自由路２７０號,08 7363011,105/06/13,107/12/31,HM43010003,衛生福利部屏東醫院
0434010518,國立陽明大學附設醫院,V,宜蘭縣宜蘭市校舍路１６９號、新民路１５２號,03 9325192,105/09/20,107/12/31,HM34010001,陽大居家醫療照護團隊
0439010518,國立臺灣大學醫學院附設醫院雲林分院,V,雲林縣斗六市雲林路二段５７９號,05 5323911,105/08/01,107/12/31,HM39010001,國立臺灣大學醫學院附設醫院雲林分院團隊
0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,V,高雄市左營區合群里軍校路５５３號,07 5811648,105/07/28,107/12/31,HM02030001,國軍左營醫院
0502080015,國軍高雄總醫院附設民眾診療服務處,V,高雄市苓雅區建軍路５號,07 7496751,105/07/28,107/12/31,HM02080001,國高總
