計畫年度,醫療群分區,醫療群縣市,醫療群代號,醫療群名稱,診所代號,診所名稱,診所地址,診所電話,24小時專線電話號碼,第1合作醫院代號,第1合作醫院名稱,第2合作醫院代號,第2合作醫院名稱,第3合作醫院代號,第3合作醫院名稱,第4合作醫院代號,第4合作醫院名稱,第5合作醫院代號,第5合作醫院名稱,第6合作醫院代號,第6合作醫院名稱,第7合作醫院代號,第7合作醫院名稱
105,臺北,宜蘭縣,1340102041,全家福,3534012062,開蘭安心診所,宜蘭縣宜蘭市神農路１段９５號１、２樓９７號１樓,(03)9311230,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102041,全家福,3534012053,厚生診所,宜蘭縣宜蘭市復興路３２號,(03)9358611,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102041,全家福,3534010773,潘仁進診所,宜蘭縣宜蘭市中山路２段６１號１樓,(03)9313808,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102041,全家福,3534071123,信望愛診所,宜蘭縣員山鄉復興路６號,(03)9221550,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102041,全家福,3534060059,陳登賢診所,宜蘭縣壯圍鄉壯濱路３段３８５號,(03)9305029,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102041,全家福,3534012099,許/明哲耳鼻喉科診所,宜蘭縣宜蘭市中山路２段３０８號１樓,(03)9321168,(039)330095,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102043,宜蘭,3534011903,聖心聯合診所,宜蘭縣宜蘭市同興街１０１號,(03)9356414,0991-124200,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102043,宜蘭,3534061092,大福診所,宜蘭縣壯圍鄉壯濱路６段２３１號,(03)9308842,0991-124200,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102043,宜蘭,2334070014,宜蘭縣員山鄉衛生所,宜蘭縣員山鄉復興路２號,(03)9221575,0991-124200,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102043,宜蘭,3534010433,譚國勇婦產科診所,宜蘭縣宜蘭市中山路３段１４３號１樓,(03)9366797,0991-124200,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102043,宜蘭,3534010522,曹天德診所,宜蘭縣宜蘭市舊城東路３－１號,(03)9353267,0991-124200,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102048,宜蘭安康,3534010166,林內兒科診所,宜蘭縣宜蘭市聖後街１７３號,(03)9322080,0991-124358,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102048,宜蘭安康,3534010684,徐瑪里婦產科診所,宜蘭縣宜蘭市中山路３段１４６號３樓,(03)9364714,0991-124358,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102048,宜蘭安康,3534011841,陳耳鼻喉科診所,宜蘭縣宜蘭市聖後街１６３號,(03)9322218,0991-124358,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102048,宜蘭安康,3534010317,黃芳裕診所,宜蘭縣宜蘭市神農里光復路２１號,(03)9365198,0991-124358,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102048,宜蘭安康,3534010219,莊耳鼻喉科診所,宜蘭縣宜蘭市神農路２段４８號,(03)9333939,0991-124358,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,2634010014,臺北榮民總醫院員山分院附設門診部,宜蘭縣宜蘭市林森路１號,(03)9222141,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534010657,林耳鼻喉科診所,宜蘭縣宜蘭市中山路３段２３３號,(03)9311234,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534012008,建成骨外科診所,宜蘭縣宜蘭市復興路６６號,(03)9325737,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534051274,安信診所,宜蘭縣礁溪鄉中山路１段２３０號１樓,(03)9888001,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534010326,明仁眼科診所,宜蘭縣宜蘭市中山路２段２３１號,(03)9330303,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534011789,和信診所,宜蘭縣宜蘭市和睦路團管區巷１７號１樓,(03)9313505,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,4034010017,宜蘭普門醫療財團法人普門診所,宜蘭縣宜蘭市神農路１段８７號,(03)9327777,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340102141,甲子蘭,3534010559,普仁健康診所,宜蘭縣宜蘭市民權路１段２號,(03)9328308,(039)232860,0634070018,臺北榮民總醫院員山分院,0434010518,國立陽明大學附設醫院,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1134010022,財團法人蘭陽仁愛醫院,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534020395,王維昌診所,宜蘭縣羅東鎮公正路１６７－３號,(03)9562512,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534020608,陳文貴診所,宜蘭縣羅東鎮公正里興東路１１８號１，２樓,(03)9550101,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
