statistic_yyymm,site_id,village,household_no,people_total,people_total_m,people_total_f,people_age_000_m,people_age_000_f,people_age_001_m,people_age_001_f,people_age_002_m,people_age_002_f,people_age_003_m,people_age_003_f,people_age_004_m,people_age_004_f,people_age_005_m,people_age_005_f,people_age_006_m,people_age_006_f,people_age_007_m,people_age_007_f,people_age_008_m,people_age_008_f,people_age_009_m,people_age_009_f,people_age_010_m,people_age_010_f,people_age_011_m,people_age_011_f,people_age_012_m,people_age_012_f,people_age_013_m,people_age_013_f,people_age_014_m,people_age_014_f,people_age_015_m,people_age_015_f,people_age_016_m,people_age_016_f,people_age_017_m,people_age_017_f,people_age_018_m,people_age_018_f,people_age_019_m,people_age_019_f,people_age_020_m,people_age_020_f,people_age_021_m,people_age_021_f,people_age_022_m,people_age_022_f,people_age_023_m,people_age_023_f,people_age_024_m,people_age_024_f,people_age_025_m,people_age_025_f,people_age_026_m,people_age_026_f,people_age_027_m,people_age_027_f,people_age_028_m,people_age_028_f,people_age_029_m,people_age_029_f,people_age_030_m,people_age_030_f,people_age_031_m,people_age_031_f,people_age_032_m,people_age_032_f,people_age_033_m,people_age_033_f,people_age_034_m,people_age_034_f,people_age_035_m,people_age_035_f,people_age_036_m,people_age_036_f,people_age_037_m,people_age_037_f,people_age_038_m,people_age_038_f,people_age_039_m,people_age_039_f,people_age_040_m,people_age_040_f,people_age_041_m,people_age_041_f,people_age_042_m,people_age_042_f,people_age_043_m,people_age_043_f,people_age_044_m,people_age_044_f,people_age_045_m,people_age_045_f,people_age_046_m,people_age_046_f,people_age_047_m,people_age_047_f,people_age_048_m,people_age_048_f,people_age_049_m,people_age_049_f,people_age_050_m,people_age_050_f,people_age_051_m,people_age_051_f,people_age_052_m,people_age_052_f,people_age_053_m,people_age_053_f,people_age_054_m,people_age_054_f,people_age_055_m,people_age_055_f,people_age_056_m,people_age_056_f,people_age_057_m,people_age_057_f,people_age_058_m,people_age_058_f,people_age_059_m,people_age_059_f,people_age_060_m,people_age_060_f,people_age_061_m,people_age_061_f,people_age_062_m,people_age_062_f,people_age_063_m,people_age_063_f,people_age_064_m,people_age_064_f,people_age_065_m,people_age_065_f,people_age_066_m,people_age_066_f,people_age_067_m,people_age_067_f,people_age_068_m,people_age_068_f,people_age_069_m,people_age_069_f,people_age_070_m,people_age_070_f,people_age_071_m,people_age_071_f,people_age_072_m,people_age_072_f,people_age_073_m,people_age_073_f,people_age_074_m,people_age_074_f,people_age_075_m,people_age_075_f,people_age_076_m,people_age_076_f,people_age_077_m,people_age_077_f,people_age_078_m,people_age_078_f,people_age_079_m,people_age_079_f,people_age_080_m,people_age_080_f,people_age_081_m,people_age_081_f,people_age_082_m,people_age_082_f,people_age_083_m,people_age_083_f,people_age_084_m,people_age_084_f,people_age_085_m,people_age_085_f,people_age_086_m,people_age_086_f,people_age_087_m,people_age_087_f,people_age_088_m,people_age_088_f,people_age_089_m,people_age_089_f,people_age_090_m,people_age_090_f,people_age_091_m,people_age_091_f,people_age_092_m,people_age_092_f,people_age_093_m,people_age_093_f,people_age_094_m,people_age_094_f,people_age_095_m,people_age_095_f,people_age_096_m,people_age_096_f,people_age_097_m,people_age_097_f,people_age_098_m,people_age_098_f,people_age_099_m,people_age_099_f,people_age_100up_m,people_age_100up_f
10603,宜蘭縣宜蘭市,神農里,1275,3093,1508,1585,11,11,10,12,13,10,9,5,14,12,10,18,14,11,14,8,18,13,10,10,17,5,13,11,11,8,17,14,19,14,16,12,21,14,22,21,11,12,20,22,18,14,15,23,20,22,21,24,20,29,20,18,26,16,33,22,24,20,27,20,27,19,25,13,25,25,25,30,24,25,18,26,25,24,20,21,21,26,18,22,23,19,24,15,20,17,20,21,21,18,20,24,16,28,22,21,18,31,14,23,19,33,13,29,26,22,24,32,21,18,25,20,23,34,27,26,30,30,22,21,25,21,30,27,19,31,17,31,24,21,18,17,17,18,9,13,10,12,9,15,10,8,6,18,5,6,14,18,11,9,11,12,12,16,9,13,9,3,9,17,3,6,5,8,6,11,11,8,5,12,8,7,3,9,6,6,2,11,7,2,1,3,2,3,4,4,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0
10603,宜蘭縣宜蘭市,民權里,1010,2077,1076,1001,5,9,6,7,12,10,5,3,10,8,16,8,16,13,12,9,9,2,10,5,6,9,6,7,4,6,11,9,6,9,6,8,9,6,9,10,16,11,18,6,11,9,12,15,20,20,14,12,17,10,20,9,8,7,8,6,15,12,17,9,12,4,17,19,18,11,14,9,20,18,15,17,19,14,18,15,18,15,18,20,14,15,9,9,12,12,15,13,16,21,16,15,15,22,17,11,18,20,14,18,26,11,16,21,24,20,23,16,13,18,16,12,17,14,10,19,31,24,12,19,16,24,24,14,17,17,12,20,17,13,9,20,6,11,12,11,7,8,12,8,7,9,5,4,6,7,6,7,7,6,5,9,11,10,5,9,7,5,4,6,5,6,3,1,3,3,1,5,2,4,5,3,2,5,5,6,4,2,0,3,4,0,0,1,2,2,2,2,1,3,1,1,1,0,1,0,0,0,0,0,2,0
10603,宜蘭縣宜蘭市,進士里,1008,2428,1170,1258,8,8,7,8,6,7,4,8,8,7,7,9,2,1,8,7,8,2,6,9,16,10,10,10,11,12,14,17,14,8,10,15,16,11,18,13,12,12,28,18,17,20,24,15,14,15,21,16,17,13,15,20,20,19,15,27,16,17,20,14,23,20,17,21,19,26,14,20,22,21,16,19,18,19,18,18,20,18,15,15,15,12,19,19,16,20,9,22,15,19,17,13,18,23,18,23,16,21,21,18,17,18,16,14,18,19,16,18,14,16,20,20,12,19,23,19,20,25,17,21,19,23,19,15,13,23,15,21,15,14,16,13,14,25,11,18,9,6,7,9,4,6,10,9,11,12,7,8,6,9,5,13,4,10,12,7,13,13,4,7,5,6,4,7,6,4,3,7,4,2,1,4,4,6,4,2,5,4,3,0,2,4,2,1,0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,1
10603,宜蘭縣宜蘭市,南橋里,500,1464,770,694,15,2,4,5,5,3,3,3,3,5,7,11,11,8,10,8,5,8,12,7,9,7,7,9,13,9,8,13,10,7,13,5,14,12,7,8,8,7,12,7,15,10,9,14,15,14,11,7,13,14,15,6,6,18,7,10,12,13,9,8,10,8,6,4,7,8,8,12,11,8,9,11,9,15,12,12,12,8,14,7,7,12,5,12,10,12,13,9,8,12,12,11,7,8,12,7,15,9,24,10,10,9,12,11,9,17,13,15,15,6,14,9,11,8,13,7,11,11,8,13,16,15,6,7,4,8,12,2,9,8,9,5,8,5,3,1,6,7,5,6,5,5,3,1,3,7,6,5,2,5,7,2,7,5,9,8,5,4,4,2,5,3,2,1,4,5,1,5,2,3,1,2,2,1,4,1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
10603,宜蘭縣宜蘭市,建業里,747,2071,1044,1027,7,9,8,9,13,10,11,8,13,14,13,10,7,11,13,14,18,12,9,16,8,13,8,11,17,11,9,12,15,17,18,10,10,14,24,16,13,17,22,15,14,11,14,17,11,14,10,15,8,12,20,15,15,12,13,13,13,16,13,8,12,13,16,7,17,15,20,7,12,14,17,10,12,15,19,15,20,19,18,17,15,11,7,22,13,22,14,24,17,13,16,13,22,13,14,19,16,25,14,11,21,25,10,13,20,20,21,12,16,17,12,18,12,15,15,14,15,14,12,10,18,15,9,8,9,14,13,8,10,11,14,14,5,8,11,8,6,7,7,11,6,3,4,7,4,4,9,8,6,8,7,4,11,6,7,3,4,4,6,3,5,4,2,6,3,4,5,3,1,1,1,4,2,3,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10603,宜蘭縣宜蘭市,南津里,1063,2527,1227,1300,7,9,7,8,8,5,12,5,8,19,15,11,14,14,18,20,19,17,16,19,15,16,18,18,24,22,16,14,21,18,12,20,21,15,13,11,9,7,17,17,17,10,18,20,13,11,22,17,17,19,15,12,13,8,9,11,14,10,8,6,3,12,11,16,13,13,17,13,12,10,11,19,16,14,8,26,21,15,9,11,18,23,26,32,22,15,22,20,25,17,26,32,19,25,16,25,19,24,20,19,22,14,27,11,18,21,19,13,21,17,26,20,21,16,10,16,18,16,17,17,12,11,19,13,19,12,17,14,11,18,11,16,10,11,9,13,5,13,6,9,4,7,6,4,7,8,7,15,5,15,5,14,3,16,8,16,4,10,3,17,6,11,4,7,2,10,5,5,7,9,7,7,9,10,5,8,11,8,7,2,8,5,5,5,3,1,2,2,3,3,1,0,1,2,1,1,0,1,0,0,0,0
10603,宜蘭縣宜蘭市,凱旋里,515,1524,808,716,8,6,9,5,3,7,5,2,4,4,9,1,5,4,5,8,5,7,6,10,14,7,8,8,4,13,6,7,7,9,6,9,10,12,9,5,13,10,13,12,22,19,16,6,12,10,16,12,11,15,13,13,15,9,9,10,15,11,9,8,8,2,18,6,10,7,13,10,20,5,13,12,11,13,8,12,11,13,8,4,15,14,7,12,8,9,11,12,13,16,17,12,13,11,14,13,15,7,17,23,10,11,15,9,17,16,14,7,17,9,10,4,17,14,13,17,13,13,10,12,11,6,9,8,5,6,11,5,11,6,8,6,5,3,4,6,6,4,4,6,2,4,1,4,3,3,3,1,6,9,4,4,5,3,6,7,4,3,1,5,4,6,1,5,6,2,4,3,1,2,2,0,2,2,2,1,3,3,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10603,宜蘭縣宜蘭市,黎明里,748,2300,1155,1145,8,9,10,9,16,7,10,11,15,15,9,14,9,12,15,9,12,23,11,17,18,12,10,8,22,16,21,12,11,16,19,13,22,12,15,20,13,19,17,16,16,6,21,18,16,21,15,11,23,23,15,12,21,15,13,17,25,12,16,17,20,13,16,17,11,12,17,18,12,16,18,16,15,17,20,24,10,24,22,25,22,20,16,19,19,12,5,22,21,16,14,8,16,18,16,15,16,28,27,26,20,22,16,15,21,11,8,15,10,13,10,19,16,11,17,25,20,9,19,13,13,14,17,13,10,12,7,15,8,14,15,9,10,10,7,14,8,5,12,9,3,6,7,7,9,8,7,5,9,1,9,9,11,5,7,6,4,5,4,0,7,3,0,4,3,1,3,4,1,4,2,2,0,1,1,4,4,2,0,5,0,1,1,0,0,2,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0
10603,宜蘭縣宜蘭市,東村里,930,2725,1358,1367,13,15,22,10,22,9,16,5,11,11,14,14,9,14,20,12,17,14,16,16,18,13,21,22,23,14,20,12,14,16,16,20,23,16,25,22,24,15,27,22,15,23,24,20,26,26,25,27,19,28,19,23,23,20,13,26,19,23,21,17,27,8,25,28,17,22,30,21,21,19,21,23,23,15,25,32,20,19,22,22,18,19,16,22,11,20,14,21,18,20,27,17,14,20,21,32,23,20,28,20,14,28,16,19,21,22,15,25,21,25,16,31,20,23,20,17,17,18,12,19,18,20,20,11,11,14,7,8,14,14,9,11,8,9,12,10,14,8,7,6,4,6,7,7,5,5,3,5,5,2,7,5,6,7,4,4,4,5,2,8,2,2,2,5,3,3,2,3,1,1,1,4,3,2,2,1,4,1,0,2,1,1,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10603,宜蘭縣宜蘭市,延平里,1391,4028,1924,2104,14,9,15,13,23,24,13,13,20,20,26,23,18,17,27,25,29,27,31,23,34,29,27,38,26,34,34,24,26,34,30,39,29,29,44,33,20,26,41,39,38,29,43,38,27,25,33,32,31,29,30,26,35,31,37,23,19,22,33,24,28,23,21,24,20,22,31,38,25,36,23,30,23,38,22,41,30,47,23,43,40,35,29,37,25,49,28,46,30,35,40,25,40,52,24,29,30,34,38,35,24,31,24,39,31,35,27,30,38,36,29,41,27,22,19,20,22,31,25,18,21,21,17,14,11,15,15,22,12,12,14,19,7,12,9,13,11,9,7,12,5,7,5,5,7,9,9,7,10,9,7,10,8,14,8,10,6,12,6,8,4,4,1,7,6,7,4,2,4,1,3,4,5,6,1,4,1,3,3,0,2,3,2,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
