id,Address,Response_Address,Response_X,Response_Y
1,宜蘭縣宜蘭市健康路二段2-2號1樓,宜蘭縣宜蘭市復興里4鄰健康路二段2之2號,121.752319,24.745546
2,宜蘭縣羅東鎮民生路７９號,宜蘭縣羅東鎮賢文里6鄰民生路79號,121.766951,24.677529
3,宜蘭縣蘇澳鎮志成路６０號,宜蘭縣蘇澳鎮蘇西里26鄰志成路60號,121.841658,24.593975
4,宜蘭縣頭城鎮吉祥路15號,宜蘭縣頭城鎮新建里15鄰吉祥路15號,121.820549,24.856759
5,宜蘭縣礁溪鄉礁溪路四段126號,宜蘭縣礁溪鄉大忠村5鄰礁溪路四段126號,121.769905,24.820865
6,宜蘭縣壯圍鄉中央路2段290號,宜蘭縣壯圍鄉吉祥村5鄰中央路二段290號,121.786319,24.746750
7,宜蘭縣員山鄉復興路２號,宜蘭縣員山鄉員山村26鄰復興路2號,121.724365,24.744299
8,宜蘭縣冬山鄉中正路十六號,宜蘭縣冬山鄉冬山村11鄰中正路16號,121.791571,24.636123
9,宜蘭縣五結鄉五結路二段337號,宜蘭縣五結鄉五結村2鄰五結路二段337號,121.798950,24.684800
10,宜蘭縣三星鄉三星路五段七十號,宜蘭縣三星鄉義德村1鄰三星路五段70號,121.651549,24.666119
11,宜蘭縣大同鄉朝陽40號,宜蘭縣大同鄉崙埤村4鄰朝陽40號,121.608845,24.677855
12,宜蘭縣南澳鄉蘇花路二段375號,宜蘭縣南澳鄉南澳村2鄰蘇花路二段375號,121.803525,24.465830
13,宜蘭縣宜蘭市林森路一號,宜蘭縣宜蘭市新東里13鄰林森路1號,121.757691,24.750370
14,宜蘭縣蘇澳鎮中山路一段四三九號,宜蘭縣蘇澳鎮聖愛里4鄰中山路一段439號,121.839576,24.596219
15,宜蘭縣員山鄉員山路1段325號,宜蘭縣員山鄉員山村16鄰員山路一段325號,121.724147,24.743443
16,宜蘭縣頭城鎮濱海路五段211號1樓,宜蘭縣頭城鎮大溪里3鄰濱海路五段211號,121.892568,24.939978
17,宜蘭縣宜蘭市光復路４６號,宜蘭縣宜蘭市大新里3鄰光復路46號,121.755905,24.755273
18,宜蘭縣宜蘭市中山路二段313號,宜蘭縣宜蘭市神農里17鄰中山路二段313號,121.752185,24.754090
19,宜蘭縣宜蘭市中山路二段189號,宜蘭縣宜蘭市民權里7鄰中山路二段189號,121.753657,24.750102
20,宜蘭縣宜蘭市聖後街173號,宜蘭縣宜蘭市東門里5鄰聖後街173號,121.753392,24.758837
21,宜蘭縣宜蘭市神農路二段48號,宜蘭縣宜蘭市民權里10鄰神農路二段48號,121.750926,24.750884
22,宜蘭縣宜蘭市中山路二段512號,宜蘭縣宜蘭市神農里16鄰中山路二段512號,121.752516,24.753799
23,宜蘭縣宜蘭市中山路二段３０９號,宜蘭縣宜蘭市神農里17鄰中山路二段309號,121.752228,24.754001
24,宜蘭縣宜蘭市光復路39號,宜蘭縣宜蘭市神農里16鄰光復路39號,121.756024,24.754908
25,宜蘭縣宜蘭市中山路3段29號、29號2樓之2,宜蘭縣宜蘭市南門里2鄰中山路三段29號,121.752140,24.756030
26,宜蘭縣宜蘭市宜興路一段113號及111號4樓,宜蘭縣宜蘭市神農里13鄰宜興路一段113號,121.756118,24.751425
27,宜蘭縣宜蘭市神農里１鄰光復路２１號,宜蘭縣宜蘭市神農里16鄰光復路21號,121.756479,24.754810
28,宜蘭縣宜蘭市中山路二段２３１號,宜蘭縣宜蘭市民權里7鄰中山路二段231號,121.753273,24.751029
29,宜蘭縣宜蘭市民族路290號,宜蘭縣宜蘭市民族里6鄰民族路290號,121.747129,24.751816
30,宜蘭縣宜蘭市中山路三段１５７號,宜蘭縣宜蘭市中山里4鄰中山路三段157號,121.752964,24.759559
