"Town","Pid","STName","PType","Tel","Fax","Address","TmX","TmY"
"蘇澳鎮","7","蘇澳鎮長安社區","分部","03-9967487","","宜蘭縣蘇澳鎮勝利路1號","336492.200","2720943.930"
"蘇澳鎮","6","蘇澳鎮蘇北社區","分部","03-9967785","","宜蘭縣蘇澳鎮新生路8號","336129.840","2721383.260"
"蘇澳鎮","4","蘇澳鎮永春社區","分部","03-9952653","","宜蘭縣蘇澳鎮永春路134巷11之1號","335623.770","2719813.300"
"蘇澳鎮","5","蘇澳鎮永樂社區","分部","03-9951221","","宜蘭縣蘇澳鎮永樂路116巷6號","335222.470","2719097.800"
"蘇澳鎮","2","蘇澳鎮蘇西社區","分部","03-9961912","","宜蘭縣蘇澳鎮志成路62號","335194.500","2721063.540"
"蘇澳鎮","8","蘇澳鎮隘丁社區","分部","0939789928","","宜蘭縣蘇澳鎮城中路40號","334754.410","2723478.610"
"蘇澳鎮","1","蘇澳國中","本部","03-9962137轉27","03-9952456","宜蘭縣蘇澳鎮聖湖里中山路二段1號","334604.290","2721207.070"
"蘇澳鎮","3","蘇澳鎮聖湖社區","分部","03-9951755","","宜蘭縣蘇澳鎮全祿街10號","334506.280","2721146.010"
"蘇澳鎮","11","蘇澳鎮聖愛社區","分部","093324535","","宜蘭縣蘇澳鎮全祿街10號","334506.280","2721146.010"
"蘇澳鎮","9","蘇澳鎮龍德社區","分部","03-9909123","","宜蘭縣蘇澳鎮福德路177巷25號","333981.061","2726241.166"
"頭城鎮","1","頭城國小","本部","03-9771011分機131","03-9770161","宜蘭縣頭城鎮開蘭路282號","333583.546","2750822.557"
"五結鄉","8","大眾社區","分部","","","宜蘭縣五結鄉大眾路80-2號","333034.783","2732502.578"
"壯圍鄉","2","後埤社區","分部","03-9386038","","宜蘭縣壯圍鄉壯濱路二段303號","332541.335","2738052.455"
"壯圍鄉","3","大福國小","分部","03-9301239","","宜蘭縣壯圍鄉大福路一段62巷26號","332353.066","2744040.165"
"五結鄉","6","孝威社區","分部","","","宜蘭縣五結鄉孝威路322號","332137.924","2732366.060"
"壯圍鄉","4","新南社區","分部","0933243759","","宜蘭縣壯圍鄉新南路1段155號","331875.250","2734812.100"
"礁溪鄉","3","時潮社區","分部","03-9870457","","宜蘭縣礁溪鄉塭底路54號","331829.505","2744365.901"
"冬山鄉","4","東城分部","分部","0919-903-477","","宜蘭縣冬山鄉東城路280號","331635.390","2725004.820"
"頭城鎮","2","二城國小","分部","03-9711024","","宜蘭縣頭城鎮青雲路二段200號","331442.135","2748691.252"
"五結鄉","1","協和社區","分部","03-9501115","03-9501122","宜蘭縣五結鄉五結路二段199號","331407.696","2731492.294"
"壯圍鄉","5","順和社區","分部","0937522016","","宜蘭縣壯圍鄉順和路28-2號","331253.000","2739613.490"
"南澳鄉","1","南澳國小","本部","03-9981228","03-9982463","宜蘭縣南澳鄉南澳村中正路15號","331157.940","2707011.880"
"五結鄉","2","五結國小","分部","","","宜蘭縣五結鄉五結中路二段88號","330807.830","2731342.320"
"冬山鄉","9","香和分部","分部","03-959-4582","","宜蘭縣冬山鄉香和路138巷24號","330732.560","2724771.900"
"冬山鄉","1","冬山鄉公所","本部","03-9591105；分機114或116","03-959-6738","宜蘭縣冬山鄉冬山路100號","330280.000","2725507.000"
"冬山鄉","5","冬山分部","分部","03-959-2718","","宜蘭縣冬山鄉中正路20號","330118.350","2725693.000"
"壯圍鄉","1","壯圍國小","本部","03-9384442分機105","03-9380717","宜蘭縣壯圍鄉壯五路55號","329917.065","2737608.374"
"南澳鄉","4","碧候基督長老教會","分部","","","宜蘭縣南澳鄉碧候村信義路陽明巷57號","329778.260","2707863.830"
"五結鄉","5","三興社區","分部","","","宜蘭縣五結鄉三結五路188號","329136.030","2733189.750"
"宜蘭市","4","黎明社區發展協會","分部","0933770770","","宜蘭市黎明路326號","328490.947","2737647.955"
"冬山鄉","8","太和分部","分部","0928-076-021","","宜蘭縣冬山鄉太和村太和路238號","328281.290","2725278.800"
"羅東鎮","4","南昌活動中心","分部","03-9556157","","宜蘭縣羅東鎮站前南路1號","328183.610","2729336.580"
"冬山鄉","13","永美分部","分部","0921-131-028","","宜蘭縣冬山鄉永興路一段189號","328072.580","2727829.710"
"羅東鎮","5","大新社區","分部","03-9571671","","宜蘭縣羅東鎮中正路128號","328067.000","2730115.000"
"五結鄉","4","二結社區","分部","","","宜蘭縣五結鄉中正路三段151號","327957.483","2733536.395"
"五結鄉","3","興中國中","分部","","","宜蘭縣五結鄉中正東路50號","327955.263","2732656.214"
"羅東鎮","2","信義社區活動中心","分部","03-9540355","","宜蘭縣羅東鎮中華路189號","327779.317","2730944.710"
"礁溪鄉","1","礁溪國小","本部","03-9882047分機160","03-9881503","宜蘭縣礁溪鄉礁溪路四段135號","327688.568","2746246.350"
"冬山鄉","12","丸山分部","分部","0928-100-522","","宜蘭縣冬山鄉港尾路98號","327572.000","2726411.000"
"冬山鄉","2","清溝分部","分部","0919-283-971","","宜蘭縣冬山鄉光明路51號","327537.100","2729054.390"
"冬山鄉","3","順安分部","分部","03-958-0300","","宜蘭縣冬山鄉義成路二段378巷87號","327415.495","2727636.287"
"羅東鎮","3","原住民文教促進會","分部","03-9567845","","宜蘭縣羅東鎮純精路二段58號","327307.860","2730056.530"
"羅東鎮","1","成功國小","本部","03-9542156分機104","03-9553292","宜蘭縣羅東鎮興東南路100號","327170.568","2729741.707"
"礁溪鄉","4","林美社區","分部","03-9875626","","宜蘭縣礁溪鄉林尾路66號","326294.584","2745684.881"
"冬山鄉","10","鹿埔分部","分部","03-968-0367","","宜蘭縣冬山鄉鹿埔路490號","325990.260","2727850.290"
"宜蘭市","5","擺厘里辦公處","分部","03-9330827","","宜蘭市擺厘路11-27號","325823.947","2737695.587"
"宜蘭市","1","宜蘭縣立復興國民中學","本部","03-9322942分機5024","03-9311639","宜蘭市復興路二段77號","325541.150","2738186.910"
"宜蘭市","2","進士里辦公處","分部","03-9312049","","宜蘭市進士路53-1號","325494.280","2737345.110"
"三星鄉","4","尾塹分部","分部","0952-928646","","宜蘭縣三星鄉上將路一段249巷30號","325405.140","2732866.730"
"礁溪鄉","2","宜蘭仁愛之家","分部","03-9283880","","宜蘭縣礁溪鄉龍泉路31號","325107.843","2742063.400"
"宜蘭市","3","泰山里辦公處","分部","03-9324258","","宜蘭市建軍路36號","324619.323","2738563.167"
"三星鄉","6","大洲分部","分部","0933-103772","","宜蘭縣三星鄉五分路二段180號","323933.210","2731893.170"
"冬山鄉","7","柯林分部","分部","03-959-1105","","宜蘭縣冬山鄉柯林村光華路209號","323866.680","2730149.970"
"員山鄉","4","員山鄉農會","分部","03-9222161","","宜蘭縣員山鄉員山村員山路一段210號","323491.519","2737796.030"
"員山鄉","6","深溝國小","分部","03-9224860","03-9225664","宜蘭縣員山鄉深溝村惠民路266號","323256.172","2735330.713"
"員山鄉","1","員山國小","本部","03-9224061","03-9225470","宜蘭縣員山鄉復興路39號","323103.364","2737627.701"
"員山鄉","2","結頭份社區發展協會","分部","03-9220683","","宜蘭縣員山鄉頭份村永金二路157巷16號","322990.616","2738831.911"
"大同鄉","2","寒溪分部","分部","03-9517460","","宜蘭縣大同鄉寒溪村寒溪巷55-5號","319737.240","2722794.120"
"三星鄉","3","月眉分部","分部","0937-813183","","宜蘭縣三星鄉月眉村三星路4段318號","316457.830","2729094.680"
"三星鄉","1","三星國中","本部","03-9892012分機228","","宜蘭縣三星鄉月眉街54號","316164.780","2729140.810"
"三星鄉","2","天送埤分部","分部","0939-007529","","宜蘭縣三星鄉天山村福山街119號","312598.960","2728431.980"
"大同鄉","4","樂水分部","分部","03-9801509","","宜蘭縣大同鄉樂水村碼崙路59號","303726.060","2721521.440"
"南澳鄉","2","金岳社區發展協會","分部","","","宜蘭縣南澳鄉金岳村12號","",""
