id,Address,Response_Address,Response_X,Response_Y
1,宜蘭縣蘇澳鎮勝利路1號,宜蘭縣蘇澳鎮長安里2鄰勝利路1號,121.854053,24.592792
2,宜蘭縣蘇澳鎮新生路8號,宜蘭縣蘇澳鎮蘇北里8鄰新生路8號,121.850502,24.596778
3,宜蘭縣蘇澳鎮永春路134巷11之1號,宜蘭縣蘇澳鎮永春里6鄰永春路134巷11之1號,121.845410,24.582633
4,宜蘭縣蘇澳鎮永樂路116巷6號,宜蘭縣蘇澳鎮永樂里1鄰永樂路116巷6號,121.841405,24.576195
5,宜蘭縣蘇澳鎮志成路62號,宜蘭縣蘇澳鎮蘇西里26鄰志成路62號,121.841248,24.593943
6,宜蘭縣蘇澳鎮城中路40號,宜蘭縣蘇澳鎮隘丁里7鄰城中路40號,121.837047,24.615771
7,宜蘭縣蘇澳鎮聖湖里中山路二段1號,宜蘭縣蘇澳鎮聖湖里16鄰中山路二段1號,121.835429,24.595272
8,宜蘭縣蘇澳鎮全祿街10號,宜蘭縣蘇澳鎮聖湖里17鄰全祿街10號,121.834457,24.594726
9,宜蘭縣蘇澳鎮全祿街10號,宜蘭縣蘇澳鎮聖湖里17鄰全祿街10號,121.834457,24.594726
10,宜蘭縣蘇澳鎮福德路177巷25號,宜蘭縣蘇澳鎮龍德里6鄰福德路177巷25號,121.829575,24.640753
11,宜蘭縣頭城鎮開蘭路282號,宜蘭縣頭城鎮武營里3鄰開蘭路282號,121.827116,24.862689
12,宜蘭縣五結鄉大眾路80-2號,宜蘭縣五結鄉錦眾村19鄰大眾路80之2號,121.820598,24.697331
13,宜蘭縣壯圍鄉壯濱路二段303號,宜蘭縣壯圍鄉復興村20鄰壯濱路二段303號,121.816049,24.747461
14,宜蘭縣壯圍鄉大福路一段62巷26號,宜蘭縣壯圍鄉大福村9鄰大福路一段62巷26號,121.814540,24.801527
15,宜蘭縣五結鄉孝威路322號,宜蘭縣五結鄉孝威村11鄰孝威路322號,121.811727,24.696147
16,宜蘭縣壯圍鄉新南路1段155號,宜蘭縣壯圍鄉新南村6鄰新南路一段155號,121.809275,24.718244
17,宜蘭縣礁溪鄉塭底路54號,宜蘭縣礁溪鄉時潮村5鄰塭底路54號,121.809381,24.804495
18,宜蘭縣冬山鄉東城路280號,宜蘭縣冬山鄉東城村5鄰東城路280號,121.806334,24.629717
19,宜蘭縣頭城鎮青雲路二段200號,宜蘭縣頭城鎮頂埔里10鄰青雲路二段200號,121.805803,24.843564
20,宜蘭縣五結鄉五結路二段199號,宜蘭縣五結鄉協和村5鄰五結路二段199號,121.804461,24.688298
21,宜蘭縣壯圍鄉順和路28-2號,宜蘭縣壯圍鄉忠孝村15鄰順和路28之2號,121.803403,24.761623
22,宜蘭縣南澳鄉南澳村中正路15號,宜蘭縣南澳鄉南澳村3鄰中正路15號,121.800587,24.467302
23,宜蘭縣五結鄉五結中路二段88號,宜蘭縣五結鄉五結村15鄰五結中路二段88號,121.798525,24.686975
24,宜蘭縣冬山鄉香和路138巷24號,宜蘭縣冬山鄉香和村3鄰香和路138巷24號,121.797404,24.627662
25,宜蘭縣冬山鄉冬山路100號,宜蘭縣冬山鄉南興村9鄰冬山路100號,121.792976,24.634322
26,宜蘭縣冬山鄉中正路20號,宜蘭縣冬山鄉冬山村13鄰中正路20號,121.791390,24.636010
27,宜蘭縣壯圍鄉壯五路55號,宜蘭縣壯圍鄉吉祥村6鄰壯五路55號,121.790080,24.743591
28,宜蘭縣南澳鄉碧候村信義路陽明巷57號,宜蘭縣南澳鄉碧候村6鄰信義路陽明巷57號,121.787026,24.475065
29,宜蘭縣五結鄉三結五路188號,宜蘭縣五結鄉三興村9鄰三結五路188號,121.782110,24.703741
30,宜蘭市黎明路326號,宜蘭縣宜蘭市黎明里3鄰黎明路326號,121.775985,24.744022
31,宜蘭縣冬山鄉太和村太和路238號,宜蘭縣冬山鄉太和村9鄰太和路238號,121.773223,24.632365
