id,Address,Response_Address,Response_X,Response_Y
1,宜蘭縣礁溪鄉礁溪路４段１２９號,宜蘭縣礁溪鄉大忠村7鄰礁溪路四段129號,121.769144,24.820582
2,宜蘭縣蘇澳鎮蘇濱路１段３０１號,宜蘭縣蘇澳鎮港邊里11鄰蘇濱路一段301號,121.848611,24.614096
3,宜蘭縣員山鄉榮光路３８６號,宜蘭縣員山鄉內城村12鄰榮光路386號,121.687824,24.721919
4,宜蘭縣壯圍鄉古亭路２３－９號,宜蘭縣壯圍鄉古亭村4鄰古亭路23之9號,121.810476,24.779163
5,宜蘭縣宜蘭市中山路２段２６０號,宜蘭縣宜蘭市神農里11鄰中山路二段260號,121.754438,24.748741
6,宜蘭縣員山鄉深溝村尚深路９１號,宜蘭縣員山鄉深溝村3鄰尚深路91號,121.721579,24.721464
7,宜蘭縣宜蘭市校舍路１６９號,宜蘭縣宜蘭市東村里10鄰校舍路169號,121.757980,24.750052
8,宜蘭縣羅東鎮南昌街８１號,宜蘭縣羅東鎮南昌里7鄰南昌街81號,121.773135,24.671679
9,宜蘭縣羅東鎮中正南路１６０號,宜蘭縣羅東鎮南昌里6鄰中正南路160號,121.770714,24.671434
10,宜蘭縣宜蘭市新民路１５２號,宜蘭縣宜蘭市東門里4鄰新民路152號,121.754029,24.757853
