Type,Name,Chief,Address,Phone
西醫診所,宜蘭縣宜蘭市衛生所,陳宏斌,宜蘭縣宜蘭市健康路二段2-2號1樓,03-9322362
西醫診所,宜蘭縣羅東鎮衛生所,林易賢,宜蘭縣羅東鎮民生路７９號,03-9542321
西醫診所,宜蘭縣蘇澳鎮衛生所,林娜蓉,宜蘭縣蘇澳鎮志成路６０號,03-9962185
西醫診所,宜蘭縣頭城鎮衛生所,王曉,宜蘭縣頭城鎮吉祥路15號,03-9771034
西醫診所,宜蘭縣礁溪鄉衛生所,林智偉,宜蘭縣礁溪鄉礁溪路四段126號,03-9882908
西醫診所,宜蘭縣壯圍鄉衛生所,簡再興,宜蘭縣壯圍鄉中央路2段290號,03-9385503
西醫診所,宜蘭縣員山鄉衛生所,簡志弘,宜蘭縣員山鄉復興路２號,03-9221575
西醫診所,宜蘭縣冬山鄉衛生所,呂明斌,宜蘭縣冬山鄉中正路十六號,03-9594772
西醫診所,宜蘭縣五結鄉衛生所,鄭欽火,宜蘭縣五結鄉五結路二段337號,03-9501564
西醫診所,宜蘭縣三星鄉衛生所,陳文萃,宜蘭縣三星鄉三星路五段七十號,03-9892227
西醫診所,宜蘭縣大同鄉衛生所,許文博,宜蘭縣大同鄉朝陽40號,03-9801175
西醫診所,宜蘭縣南澳鄉衛生所,楊士銳,宜蘭縣南澳鄉蘇花路二段375號,03-9981019
西醫診所,臺北榮民總醫院員山分院附設門診部,朱正偉,宜蘭縣宜蘭市林森路一號,03-9373939
西醫診所,臺北榮民總醫院蘇澳分院附設門診部,許立明,宜蘭縣蘇澳鎮中山路一段四三九號,03-9905815
西醫診所,臺北榮民總醫院員山分院附設員山鄉門診部,莊明憲,宜蘭縣員山鄉員山路1段325號,03-9230051
西醫診所,國立陽明大學附設醫院附設大溪門診部,林純吉,宜蘭縣頭城鎮濱海路五段211號1樓,03-9781030
西醫診所,第一診所,陳美智,宜蘭縣宜蘭市光復路４６號,03-9324418
西醫診所,順安診所,陳清風,宜蘭縣宜蘭市中山路二段313號,03-9331192
西醫診所,李富逸診所,李富逸,宜蘭縣宜蘭市中山路二段189號,03-9330369
西醫診所,林內兒科診所,林英達,宜蘭縣宜蘭市聖後街173號,03-9322080
西醫診所,莊耳鼻喉科診所,莊秋滿,宜蘭縣宜蘭市神農路二段48號,03-9333939
西醫診所,李光雄診所,李光雄,宜蘭縣宜蘭市中山路二段512號,03-9327188
西醫診所,李界元皮膚科診所,李界元,宜蘭縣宜蘭市中山路二段３０９號,03-9355175
西醫診所,周明偉診所,周明偉,宜蘭縣宜蘭市光復路39號,03-9351618
西醫診所,李碧峰小兒科診所,李碧?,宜蘭縣宜蘭市中山路3段29號、29號2樓之2,03-9356288
