id,Address,Response_Address,Response_X,Response_Y
1,宜蘭縣三星鄉大隱村三星路2段103號,宜蘭縣三星鄉大隱村25鄰三星路二段103號,121.705444,24.666897
2,宜蘭縣三星鄉大坑路15之4號,宜蘭縣三星鄉拱照村5鄰大坑路51之2號,121.677730,24.659179
3,宜蘭縣五結鄉季水路15巷46號,宜蘭縣五結鄉季新村1鄰季水路15巷46號,121.830565,24.676746
4,宜蘭縣五結鄉親河路2段58巷78號,宜蘭縣五結鄉協和村19鄰親河路二段58巷78號,121.812668,24.673539
5,宜蘭縣五結鄉中正路三段21號,宜蘭縣五結鄉二結村12鄰中正路三段21號,121.769974,24.703335
6,宜蘭縣五結鄉中正路三段146巷7號,宜蘭縣五結鄉二結村7鄰中正路三段146巷7號,121.771925,24.706909
7,宜蘭縣冬山鄉清溝村永安路389號,宜蘭縣冬山鄉清溝村28鄰永安路389號,121.764406,24.662500
8,宜蘭縣冬山鄉福興東路71號,宜蘭縣冬山鄉大興村4鄰福興東路71號,121.809979,24.629676
9,宜蘭縣冬山鄉清溝村永安路393號,宜蘭縣冬山鄉清溝村28鄰永安路393號,121.764156,24.662497
10,宜蘭縣冬山鄉大進二路68號,宜蘭縣冬山鄉大進村2鄰大進二路68號,121.719935,24.638589
11,宜蘭縣宜蘭市舊城北路177號,宜蘭縣宜蘭市中山里10鄰舊城北路177號,121.751785,24.760586
12,宜蘭縣宜蘭市吉祥路120號,宜蘭縣宜蘭市菜園里4鄰吉祥路120號,121.756076,24.760851
13,宜蘭縣宜蘭市農權路3段178號,宜蘭縣宜蘭市建軍里6鄰農權路三段178號,121.738211,24.750372
14,宜蘭縣宜蘭市舊城北路173號,宜蘭縣宜蘭市中山里10鄰舊城北路173號,121.751930,24.760411
15,宜蘭縣宜蘭市宜興路3段109號,宜蘭縣宜蘭市新生里13鄰宜興路三段109號,121.759136,24.769043
16,宜蘭縣宜蘭市舊城北路182號,宜蘭縣宜蘭市西門里2鄰舊城北路182號,121.751855,24.760558
17,宜蘭縣宜蘭市縣政十二街40號,宜蘭縣宜蘭市南津里13鄰縣政十二街40號,121.763660,24.732475
18,宜蘭縣宜蘭市民權新路47巷10號,宜蘭縣宜蘭市民權里9鄰民權新路47巷10號,121.751438,24.750211
19,宜蘭縣宜蘭市陽明三路160巷2號,宜蘭縣宜蘭市新東里2鄰陽明三路160巷2號,121.765213,24.751562
20,宜蘭縣宜蘭市泰山路260號,宜蘭縣宜蘭市泰山里7鄰泰山路260號,121.737225,24.751060
21,宜蘭縣宜蘭市津梅路71號,宜蘭縣宜蘭市北津里11鄰津梅路71號,121.752730,24.767359
22,宜蘭縣宜蘭市宜興路3段121號,宜蘭縣宜蘭市新生里13鄰宜興路三段121號,121.759034,24.769604
23,宜蘭縣宜蘭市津梅路73號,宜蘭縣宜蘭市北津里11鄰津梅路73號,121.752645,24.767409
24,宜蘭縣宜蘭市中山路3段87號,宜蘭縣宜蘭市南門里3鄰中山路三段87號,121.752543,24.757631
25,宜蘭縣宜蘭市和睦路團管區巷17號,宜蘭縣宜蘭市神農里15鄰和睦路團管區巷17號,121.754526,24.751102
26,宜蘭縣宜蘭市聖後街118號,宜蘭縣宜蘭市東門里7鄰聖後街118號,121.755478,24.758668
27,宜蘭縣宜蘭市中山路3段87號,宜蘭縣宜蘭市南門里3鄰中山路三段87號,121.752543,24.757631
28,宜蘭縣南澳鄉蘇花路2段251號,宜蘭縣南澳鄉南澳村2鄰蘇花路二段251號,121.800106,24.464749
29,宜蘭縣員山鄉中華村冷水路17號,宜蘭縣員山鄉中華村12鄰冷水路17號,121.635147,24.696823
30,宜蘭縣礁溪鄉六結路151號,宜蘭縣礁溪鄉六結村12鄰六結路151號,121.775312,24.812231
31,宜蘭縣羅東鎮維揚路132號,宜蘭縣羅東鎮維揚里5鄰維揚路132號,121.759728,24.672077
32,宜蘭縣羅東鎮北成路1段17號,宜蘭縣羅東鎮漢民里10鄰北成路一段17號,121.762415,24.674950
33,宜蘭縣蘇澳鎮隘界路290巷11號,宜蘭縣蘇澳鎮隘丁里18鄰隘界路290巷11號,121.842219,24.618532
34,宜蘭縣羅東鎮南昌街53巷9號,宜蘭縣羅東鎮南昌里22鄰南昌街53巷9號,121.774232,24.671179
35,宜蘭縣羅東鎮西安街313號,宜蘭縣羅東鎮西安里2鄰西安街313號,121.756887,24.668573
36,宜蘭縣羅東鎮興東南路232號,宜蘭縣羅東鎮仁德里2鄰興東南路232號,121.767479,24.674324
37,興東南路232號,找不到指定的門牌地址。,,
38,羅東鎮站前南路11號,找不到指定的門牌地址。,,
39,頭城鎮開蘭東路1之1號,找不到指定的門牌地址。,,
